,cliente_id,entrega,devolucion,repartidor_id,mes,estacion,año,dia_mes,dia_sem,demanda_neta
0,0,14.0,0.0,0,1,1,2025,15,3,14.0
1,1,5.5,0.0,0,7,3,2025,5,6,5.5
2,2,1.0,2.5,1,1,1,2021,1,5,-1.5
3,3,7.0,0.5,2,9,4,2025,10,3,6.5
4,4,16.0,0.5,3,10,4,2022,7,5,15.5
5,5,4.0,0.0,2,6,3,2025,27,5,4.0
6,6,8.5,0.0,4,12,1,2021,21,2,8.5
7,7,10.5,0.0,0,11,4,2023,11,6,10.5
8,8,9.0,4.0,4,12,1,2024,7,6,5.0
9,9,6.5,0.0,5,12,1,2020,5,6,6.5
10,10,5.5,0.0,6,8,3,2021,11,3,5.5
11,11,4.5,1.0,1,4,2,2021,16,5,3.5
12,10,6.0,0.0,1,10,4,2022,25,2,6.0
13,12,2.0,0.0,2,7,3,2022,25,1,2.0
14,5,10.5,0.0,7,4,2,2025,28,1,10.5
15,3,7.5,0.0,8,2,1,2026,7,6,7.5
16,0,7.5,0.0,3,1,1,2024,26,5,7.5
17,13,3.0,0.0,1,7,3,2025,14,1,3.0
18,14,9.0,1.0,1,6,3,2022,10,5,8.0
19,3,5.0,1.0,1,3,2,2023,17,5,4.0
20,15,8.0,0.0,8,5,2,2021,12,3,8.0
21,1,3.5,0.0,9,9,4,2023,13,3,3.5
22,16,12.0,0.5,1,7,3,2022,11,1,11.5
23,8,10.0,0.0,9,5,2,2023,3,3,10.0
24,6,26.5,0.0,8,6,3,2025,13,5,26.5
25,17,8.0,0.0,0,1,1,2024,16,2,8.0
26,4,18.0,2.5,1,8,3,2020,11,2,15.5
27,18,7.5,0.0,0,9,4,2022,28,3,7.5
28,19,2.5,0.5,1,12,1,2024,10,2,2.0
29,6,3.5,1.0,1,1,1,2021,20,3,2.5
30,8,10.0,0.0,6,2,1,2021,12,5,10.0
31,6,7.5,0.0,3,4,2,2024,17,3,7.5
32,20,7.5,0.0,6,12,1,2020,5,6,7.5
33,9,7.0,0.0,8,3,2,2021,30,2,7.0
34,12,2.5,0.0,0,6,3,2024,11,2,2.5
35,8,6.0,0.0,2,9,4,2021,28,2,6.0
36,21,7.5,1.0,1,7,3,2020,6,1,6.5
37,2,3.0,1.0,10,3,2,2024,22,5,2.0
38,6,4.0,0.5,1,3,2,2023,16,4,3.5
39,0,14.0,0.0,1,2,1,2025,6,4,14.0
40,7,3.5,0.0,1,5,2,2025,30,5,3.5
41,19,2.5,0.0,2,11,4,2020,24,2,2.5
42,22,12.5,2.0,1,1,1,2026,26,1,10.5
43,12,2.0,0.0,1,1,1,2024,18,4,2.0
