cliente,entrega,devolución,masa_tortilla,masa_tamal,repartidor,fecha
lalo,14.0,0.0,0.0,0.0,diana,2025-01-15
leonor,5.5,0.0,0.0,0.0,diana,2025-07-05
paraiso,1.0,2.5,0.0,0.0,,2021-01-01
tito,7.0,0.5,0.0,0.0,berta,2025-09-10
roberto,16.0,0.5,0.0,0.0,hilda,2022-10-07
patricia,4.0,0.0,0.0,0.0,berta,2025-06-27
marta,8.5,0.0,0.0,0.0,flor,2021-12-21
gordillo,10.5,0.0,0.0,0.0,diana,2023-11-11
estrella,9.0,4.0,0.0,0.0,flor,2024-12-07
cactus,6.5,0.0,0.0,0.0,ivan,2020-12-05
ciruela,5.5,0.0,0.0,0.0,arturo,2021-08-11
socorro,4.5,1.0,0.0,0.0,,2021-04-16
ciruela,6.0,0.0,0.0,0.0,,2022-10-25
roja_2,2.0,0.0,0.0,0.0,berta,2022-07-25
patricia,10.5,0.0,0.0,0.0,leo,2025-04-28
tito,7.5,0.0,0.0,0.0,german,2026-02-07
lalo,7.5,0.0,0.0,0.0,hilda,2024-01-26
escalera,3.0,0.0,0.0,0.0,,2025-07-14
cristina,9.0,1.0,0.0,0.0,,2022-06-10
tito,5.0,1.0,0.0,0.0,,2023-03-17
chayo,8.0,0.0,0.0,0.0,german,2021-05-12
leonor,3.5,0.0,0.0,0.0,edgar,2023-09-13
remedios,12.0,0.5,0.0,0.0,,2022-07-11
estrella,10.0,0.0,0.0,0.0,edgar,2023-05-03
marta,26.5,0.0,0.0,0.0,german,2025-06-13
xavier,8.0,0.0,0.0,0.0,diana,2024-01-16
roberto,18.0,2.5,0.0,0.0,,2020-08-11
mercadito,7.5,0.0,0.0,0.0,diana,2022-09-28
clinica_central,2.5,0.5,0.0,0.0,,2024-12-10
marta,3.5,1.0,0.0,0.0,,2021-01-20
estrella,10.0,0.0,0.0,0.0,arturo,2021-02-12
marta,7.5,0.0,0.0,0.0,hilda,2024-04-17
dona_mary,7.5,0.0,0.0,0.0,arturo,2020-12-05
cactus,7.0,0.0,0.0,0.0,german,2021-03-30
roja_2,2.5,0.0,0.0,0.0,diana,2024-06-11
